datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,M01AB_stock,M01AB_stock_status,M01AE_stock,M01AE_stock_status,N02BA_stock,N02BA_stock_status,N02BE_stock,N02BE_stock_status,N05B_stock,N05B_stock_status,N05C_stock,N05C_stock_status,R03_stock,R03_stock_status,R06_stock,R06_stock_status,Day
2015-03-24,4,5,5,22,8,2,9,4,2015,3,Tuesday,261,High Stock,112,Medium Stock,215,High Stock,212,High Stock,371,High Stock,132,Medium Stock,321,High Stock,330,High Stock,24
2015-03-25,3,8,6,17,10,2,13,1,2015,3,Wednesday,257,High Stock,103,Medium Stock,209,High Stock,194,Medium Stock,361,High Stock,130,Medium Stock,308,High Stock,329,High Stock,25
2015-03-26,5,1,3,51,10,0,6,5,2015,3,Thursday,252,High Stock,101,Medium Stock,206,High Stock,143,Medium Stock,351,High Stock,130,Medium Stock,302,High Stock,324,High Stock,26
2015-03-27,3,2,2,27,3,0,22,1,2015,3,Friday,249,High Stock,99,Medium Stock,204,High Stock,116,Medium Stock,348,High Stock,130,Medium Stock,280,High Stock,323,High Stock,27
2015-03-28,1,3,3,50,6,0,0,2,2015,3,Saturday,248,High Stock,95,Medium Stock,201,High Stock,65,Low Stock,342,High Stock,130,Medium Stock,280,High Stock,321,High Stock,28
2015-03-29,6,5,2,35,7,0,8,2,2015,3,Sunday,242,High Stock,381,High Stock,199,Medium Stock,30,Low Stock,335,High Stock,130,Medium Stock,272,High Stock,319,High Stock,29
2015-03-30,6,4,10,25,4,0,0,0,2015,3,Monday,236,High Stock,376,High Stock,189,Medium Stock,254,High Stock,331,High Stock,130,Medium Stock,272,High Stock,319,High Stock,30
2015-03-31,5,2,11,33,5,0,2,4,2015,3,Tuesday,231,High Stock,374,High Stock,177,Medium Stock,220,High Stock,326,High Stock,130,Medium Stock,270,High Stock,315,High Stock,31
2015-04-01,6,1,1,24,7,2,5,1,2015,4,Wednesday,224,High Stock,373,High Stock,176,Medium Stock,196,Medium Stock,319,High Stock,128,Medium Stock,265,High Stock,314,High Stock,1
2015-04-02,5,3,5,35,3,0,3,5,2015,4,Thursday,219,High Stock,369,High Stock,171,Medium Stock,161,Medium Stock,316,High Stock,128,Medium Stock,262,High Stock,309,High Stock,2
2015-04-03,5,2,4,34,12,0,0,4,2015,4,Friday,214,High Stock,366,High Stock,167,Medium Stock,126,Medium Stock,304,High Stock,128,Medium Stock,262,High Stock,305,High Stock,3
2015-04-04,3,4,6,43,7,1,5,6,2015,4,Saturday,210,High Stock,362,High Stock,161,Medium Stock,83,Medium Stock,297,High Stock,127,Medium Stock,257,High Stock,299,High Stock,4
2015-04-05,3,5,4,31,4,0,0,1,2015,4,Sunday,207,High Stock,357,High Stock,157,Medium Stock,52,Low Stock,293,High Stock,127,Medium Stock,257,High Stock,298,High Stock,5
2015-04-06,7,3,5,32,4,0,3,2,2015,4,Monday,200,High Stock,354,High Stock,151,Medium Stock,19,Low Stock,289,High Stock,127,Medium Stock,254,High Stock,296,High Stock,6
2015-04-07,6,3,6,25,8,0,8,1,2015,4,Tuesday,194,Medium Stock,350,High Stock,145,Medium Stock,252,High Stock,281,High Stock,127,Medium Stock,246,High Stock,295,High Stock,7
2015-04-08,4,2,3,18,11,0,10,4,2015,4,Wednesday,190,Medium Stock,348,High Stock,142,Medium Stock,234,High Stock,270,High Stock,127,Medium Stock,236,High Stock,291,High Stock,8
2015-04-09,1,6,8,22,8,0,6,1,2015,4,Thursday,188,Medium Stock,342,High Stock,134,Medium Stock,212,High Stock,262,High Stock,127,Medium Stock,230,High Stock,290,High Stock,9
2015-04-10,9,6,4,65,5,2,8,5,2015,4,Friday,178,Medium Stock,335,High Stock,130,Medium Stock,146,Medium Stock,257,High Stock,125,Medium Stock,222,High Stock,285,High Stock,10
2015-04-11,11,3,3,26,9,0,5,6,2015,4,Saturday,167,Medium Stock,332,High Stock,126,Medium Stock,120,Medium Stock,248,High Stock,125,Medium Stock,217,High Stock,279,High Stock,11
2015-04-12,0,0,0,0,0,0,0,0,2015,4,Sunday,167,Medium Stock,332,High Stock,126,Medium Stock,120,Medium Stock,248,High Stock,125,Medium Stock,217,High Stock,279,High Stock,12
2015-04-13,6,1,7,25,5,0,3,7,2015,4,Monday,160,Medium Stock,331,High Stock,119,Medium Stock,95,Medium Stock,243,High Stock,125,Medium Stock,214,High Stock,272,High Stock,13
2015-04-14,4,6,7,41,5,0,5,2,2015,4,Tuesday,155,Medium Stock,325,High Stock,112,Medium Stock,53,Low Stock,238,High Stock,125,Medium Stock,209,High Stock,270,High Stock,14
2015-04-15,2,2,3,29,15,0,0,2,2015,4,Wednesday,153,Medium Stock,322,High Stock,109,Medium Stock,24,Low Stock,223,High Stock,125,Medium Stock,209,High Stock,268,High Stock,15
2015-04-16,2,1,7,30,7,0,9,4,2015,4,Thursday,151,Medium Stock,321,High Stock,102,Medium Stock,310,High Stock,216,High Stock,125,Medium Stock,200,High Stock,264,High Stock,16
2015-04-17,9,3,3,29,6,0,1,5,2015,4,Friday,142,Medium Stock,318,High Stock,99,Medium Stock,281,High Stock,210,High Stock,125,Medium Stock,199,Medium Stock,259,High Stock,17
2015-04-18,7,3,1,31,1,0,1,4,2015,4,Saturday,134,Medium Stock,315,High Stock,98,Medium Stock,249,High Stock,209,High Stock,125,Medium Stock,198,Medium Stock,255,High Stock,18
2015-04-19,9,5,3,36,3,0,0,2,2015,4,Sunday,125,Medium Stock,309,High Stock,94,Medium Stock,213,High Stock,206,High Stock,125,Medium Stock,198,Medium Stock,253,High Stock,19
2015-04-20,3,5,3,38,13,0,1,3,2015,4,Monday,122,Medium Stock,304,High Stock,90,Medium Stock,175,Medium Stock,193,Medium Stock,125,Medium Stock,197,Medium Stock,250,High Stock,20
2015-04-21,6,1,2,35,9,0,0,6,2015,4,Tuesday,116,Medium Stock,303,High Stock,375,High Stock,140,Medium Stock,184,Medium Stock,125,Medium Stock,197,Medium Stock,244,High Stock,21
2015-04-22,1,4,3,32,3,0,1,2,2015,4,Wednesday,114,Medium Stock,299,High Stock,372,High Stock,108,Medium Stock,181,Medium Stock,125,Medium Stock,196,Medium Stock,242,High Stock,22
2015-04-23,4,1,1,28,8,0,1,4,2015,4,Thursday,110,Medium Stock,298,High Stock,371,High Stock,79,Low Stock,173,Medium Stock,125,Medium Stock,195,Medium Stock,238,High Stock,23
2015-04-24,10,1,4,30,5,0,1,5,2015,4,Friday,100,Medium Stock,297,High Stock,367,High Stock,49,Low Stock,168,Medium Stock,125,Medium Stock,194,Medium Stock,233,High Stock,24
2015-04-25,5,3,8,38,3,0,1,3,2015,4,Saturday,95,Medium Stock,293,High Stock,359,High Stock,306,High Stock,165,Medium Stock,125,Medium Stock,193,Medium Stock,230,High Stock,25
2015-04-26,7,6,3,37,5,0,1,1,2015,4,Sunday,88,Medium Stock,287,High Stock,356,High Stock,269,High Stock,160,Medium Stock,125,Medium Stock,192,Medium Stock,229,High Stock,26
2015-04-27,3,0,4,43,10,0,0,10,2015,4,Monday,85,Medium Stock,287,High Stock,352,High Stock,226,High Stock,150,Medium Stock,125,Medium Stock,192,Medium Stock,219,High Stock,27
2015-04-28,4,4,3,15,7,0,5,6,2015,4,Tuesday,81,Medium Stock,282,High Stock,349,High Stock,210,High Stock,143,Medium Stock,125,Medium Stock,187,Medium Stock,213,High Stock,28
2015-04-29,2,0,4,27,2,0,11,3,2015,4,Wednesday,79,Low Stock,282,High Stock,345,High Stock,183,Medium Stock,141,Medium Stock,125,Medium Stock,176,Medium Stock,210,High Stock,29
2015-04-30,3,8,2,32,7,0,3,7,2015,4,Thursday,76,Low Stock,273,High Stock,342,High Stock,150,Medium Stock,134,Medium Stock,125,Medium Stock,173,Medium Stock,203,High Stock,30
2015-05-01,5,1,4,11,4,0,0,4,2015,5,Friday,345,High Stock,271,High Stock,337,High Stock,139,Medium Stock,130,Medium Stock,125,Medium Stock,173,Medium Stock,198,Medium Stock,1
2015-05-02,5,3,3,47,6,2,0,5,2015,5,Saturday,340,High Stock,267,High Stock,334,High Stock,91,Medium Stock,124,Medium Stock,123,Medium Stock,173,Medium Stock,193,Medium Stock,2
2015-05-03,6,1,2,19,4,0,1,6,2015,5,Sunday,333,High Stock,266,High Stock,332,High Stock,72,Low Stock,120,Medium Stock,123,Medium Stock,172,Medium Stock,187,Medium Stock,3
2015-05-04,4,4,8,36,5,1,10,3,2015,5,Monday,329,High Stock,262,High Stock,324,High Stock,36,Low Stock,115,Medium Stock,122,Medium Stock,162,Medium Stock,184,Medium Stock,4
2015-05-05,3,3,2,19,6,0,5,2,2015,5,Tuesday,326,High Stock,258,High Stock,322,High Stock,329,High Stock,109,Medium Stock,122,Medium Stock,157,Medium Stock,182,Medium Stock,5
2015-05-06,4,6,2,40,11,0,0,6,2015,5,Wednesday,321,High Stock,252,High Stock,320,High Stock,289,High Stock,98,Medium Stock,122,Medium Stock,157,Medium Stock,176,Medium Stock,6
2015-05-07,2,3,2,21,4,1,5,10,2015,5,Thursday,319,High Stock,248,High Stock,318,High Stock,268,High Stock,94,Medium Stock,121,Medium Stock,152,Medium Stock,166,Medium Stock,7
2015-05-08,1,6,5,16,8,0,4,1,2015,5,Friday,318,High Stock,242,High Stock,313,High Stock,252,High Stock,86,Medium Stock,121,Medium Stock,148,Medium Stock,165,Medium Stock,8
2015-05-09,3,4,7,21,11,1,1,6,2015,5,Saturday,314,High Stock,238,High Stock,305,High Stock,231,High Stock,380,High Stock,120,Medium Stock,147,Medium Stock,159,Medium Stock,9
2015-05-10,3,5,3,13,3,0,1,10,2015,5,Sunday,311,High Stock,232,High Stock,301,High Stock,218,High Stock,377,High Stock,120,Medium Stock,146,Medium Stock,149,Medium Stock,10
2015-05-11,3,6,5,21,3,0,6,4,2015,5,Monday,308,High Stock,226,High Stock,296,High Stock,197,Medium Stock,374,High Stock,120,Medium Stock,140,Medium Stock,145,Medium Stock,11
2015-05-12,7,1,8,22,13,0,0,8,2015,5,Tuesday,300,High Stock,224,High Stock,287,High Stock,174,Medium Stock,361,High Stock,120,Medium Stock,140,Medium Stock,137,Medium Stock,12
2015-05-13,8,3,9,28,5,0,2,4,2015,5,Wednesday,292,High Stock,220,High Stock,278,High Stock,145,Medium Stock,356,High Stock,120,Medium Stock,138,Medium Stock,132,Medium Stock,13
2015-05-14,3,5,3,14,1,0,0,5,2015,5,Thursday,289,High Stock,215,High Stock,275,High Stock,131,Medium Stock,355,High Stock,120,Medium Stock,138,Medium Stock,127,Medium Stock,14
2015-05-15,3,6,4,48,8,0,4,3,2015,5,Friday,286,High Stock,209,High Stock,271,High Stock,83,Medium Stock,347,High Stock,120,Medium Stock,134,Medium Stock,124,Medium Stock,15
2015-05-16,5,4,4,40,4,0,0,4,2015,5,Saturday,281,High Stock,205,High Stock,267,High Stock,42,Low Stock,343,High Stock,120,Medium Stock,134,Medium Stock,120,Medium Stock,16
2015-05-17,5,3,5,23,0,0,0,8,2015,5,Sunday,276,High Stock,201,High Stock,262,High Stock,280,High Stock,343,High Stock,120,Medium Stock,134,Medium Stock,112,Medium Stock,17
2015-05-18,7,2,5,21,6,1,2,2,2015,5,Monday,269,High Stock,198,Medium Stock,257,High Stock,259,High Stock,337,High Stock,119,Medium Stock,132,Medium Stock,110,Medium Stock,18
2015-05-19,3,1,3,20,8,0,0,3,2015,5,Tuesday,266,High Stock,197,Medium Stock,254,High Stock,239,High Stock,329,High Stock,119,Medium Stock,132,Medium Stock,107,Medium Stock,19
2015-05-20,5,6,2,17,12,1,5,6,2015,5,Wednesday,260,High Stock,190,Medium Stock,252,High Stock,222,High Stock,317,High Stock,118,Medium Stock,127,Medium Stock,101,Medium Stock,20
2015-05-21,6,1,3,10,5,0,1,3,2015,5,Thursday,254,High Stock,188,Medium Stock,249,High Stock,212,High Stock,312,High Stock,118,Medium Stock,126,Medium Stock,97,Medium Stock,21
2015-05-22,3,0,2,15,8,0,0,7,2015,5,Friday,251,High Stock,188,Medium Stock,247,High Stock,197,Medium Stock,304,High Stock,118,Medium Stock,126,Medium Stock,90,Medium Stock,22
2015-05-23,5,2,5,23,10,0,2,7,2015,5,Saturday,246,High Stock,186,Medium Stock,242,High Stock,173,Medium Stock,294,High Stock,118,Medium Stock,124,Medium Stock,83,Medium Stock,23
2015-05-24,5,7,3,20,5,0,0,1,2015,5,Sunday,240,High Stock,178,Medium Stock,239,High Stock,153,Medium Stock,289,High Stock,118,Medium Stock,124,Medium Stock,82,Medium Stock,24
2015-05-25,9,3,4,30,11,3,0,3,2015,5,Monday,231,High Stock,174,Medium Stock,235,High Stock,123,Medium Stock,278,High Stock,115,Medium Stock,124,Medium Stock,79,Low Stock,25
2015-05-26,7,3,4,27,11,0,22,10,2015,5,Tuesday,223,High Stock,171,Medium Stock,230,High Stock,96,Medium Stock,267,High Stock,115,Medium Stock,102,Medium Stock,281,High Stock,26
2015-05-27,4,2,2,24,7,0,0,1,2015,5,Wednesday,219,High Stock,168,Medium Stock,228,High Stock,72,Low Stock,260,High Stock,115,Medium Stock,102,Medium Stock,280,High Stock,27
2015-05-28,6,2,6,17,3,0,20,3,2015,5,Thursday,213,High Stock,166,Medium Stock,222,High Stock,55,Low Stock,257,High Stock,115,Medium Stock,82,Medium Stock,277,High Stock,28
2015-05-29,6,5,3,41,6,0,5,3,2015,5,Friday,207,High Stock,161,Medium Stock,219,High Stock,13,Low Stock,251,High Stock,115,Medium Stock,77,Low Stock,274,High Stock,29
2015-05-30,14,2,6,24,4,0,4,8,2015,5,Saturday,193,Medium Stock,158,Medium Stock,213,High Stock,240,High Stock,247,High Stock,115,Medium Stock,73,Low Stock,266,High Stock,30
2015-05-31,3,4,6,31,2,0,0,10,2015,5,Sunday,190,Medium Stock,154,Medium Stock,206,High Stock,208,High Stock,245,High Stock,115,Medium Stock,73,Low Stock,256,High Stock,31
2015-06-01,4,5,2,23,12,0,2,3,2015,6,Monday,185,Medium Stock,149,Medium Stock,204,High Stock,185,Medium Stock,233,High Stock,115,Medium Stock,71,Low Stock,253,High Stock,1
2015-06-02,8,8,7,24,10,4,3,6,2015,6,Tuesday,177,Medium Stock,141,Medium Stock,196,Medium Stock,161,Medium Stock,223,High Stock,111,Medium Stock,68,Low Stock,247,High Stock,2
2015-06-03,5,1,5,30,9,0,6,2,2015,6,Wednesday,172,Medium Stock,139,Medium Stock,191,Medium Stock,131,Medium Stock,214,High Stock,111,Medium Stock,62,Low Stock,245,High Stock,3
2015-06-04,2,4,3,20,5,0,2,2,2015,6,Thursday,170,Medium Stock,135,Medium Stock,188,Medium Stock,111,Medium Stock,209,High Stock,111,Medium Stock,60,Low Stock,243,High Stock,4
2015-06-05,5,0,5,13,6,0,1,7,2015,6,Friday,165,Medium Stock,134,Medium Stock,183,Medium Stock,98,Medium Stock,203,High Stock,111,Medium Stock,59,Low Stock,236,High Stock,5
2015-06-06,3,3,2,16,6,0,17,2,2015,6,Saturday,161,Medium Stock,131,Medium Stock,181,Medium Stock,82,Medium Stock,197,Medium Stock,111,Medium Stock,42,Low Stock,234,High Stock,6
2015-06-07,6,5,2,17,6,1,22,6,2015,6,Sunday,155,Medium Stock,126,Medium Stock,179,Medium Stock,65,Low Stock,191,Medium Stock,110,Medium Stock,359,High Stock,228,High Stock,7
2015-06-08,6,5,2,31,10,1,3,7,2015,6,Monday,149,Medium Stock,120,Medium Stock,176,Medium Stock,34,Low Stock,181,Medium Stock,109,Medium Stock,356,High Stock,221,High Stock,8
2015-06-09,3,4,4,26,14,0,0,4,2015,6,Tuesday,146,Medium Stock,116,Medium Stock,172,Medium Stock,218,High Stock,167,Medium Stock,109,Medium Stock,356,High Stock,216,High Stock,9
2015-06-10,4,3,8,18,6,0,7,2,2015,6,Wednesday,141,Medium Stock,113,Medium Stock,164,Medium Stock,200,High Stock,161,Medium Stock,109,Medium Stock,349,High Stock,214,High Stock,10
2015-06-11,6,2,5,38,11,0,1,3,2015,6,Thursday,135,Medium Stock,111,Medium Stock,159,Medium Stock,161,Medium Stock,150,Medium Stock,109,Medium Stock,348,High Stock,211,High Stock,11
2015-06-12,1,1,2,17,2,2,0,5,2015,6,Friday,134,Medium Stock,109,Medium Stock,157,Medium Stock,144,Medium Stock,148,Medium Stock,107,Medium Stock,348,High Stock,206,High Stock,12
2015-06-13,2,4,7,21,6,0,12,4,2015,6,Saturday,131,Medium Stock,104,Medium Stock,150,Medium Stock,122,Medium Stock,142,Medium Stock,107,Medium Stock,336,High Stock,202,High Stock,13
2015-06-14,5,3,1,14,6,0,3,2,2015,6,Sunday,126,Medium Stock,101,Medium Stock,148,Medium Stock,108,Medium Stock,136,Medium Stock,107,Medium Stock,333,High Stock,200,High Stock,14
2015-06-15,4,3,5,37,9,0,6,9,2015,6,Monday,122,Medium Stock,97,Medium Stock,143,Medium Stock,71,Low Stock,127,Medium Stock,107,Medium Stock,327,High Stock,191,Medium Stock,15
2015-06-16,7,3,4,20,6,0,8,5,2015,6,Tuesday,115,Medium Stock,404,High Stock,139,Medium Stock,51,Low Stock,121,Medium Stock,107,Medium Stock,319,High Stock,186,Medium Stock,16
2015-06-17,3,3,8,24,10,1,20,2,2015,6,Wednesday,112,Medium Stock,401,High Stock,130,Medium Stock,27,Low Stock,111,Medium Stock,106,Medium Stock,299,High Stock,184,Medium Stock,17
2015-06-18,3,5,7,24,4,0,23,3,2015,6,Thursday,109,Medium Stock,395,High Stock,123,Medium Stock,241,High Stock,107,Medium Stock,106,Medium Stock,276,High Stock,180,Medium Stock,18
2015-06-19,5,4,3,24,13,2,10,6,2015,6,Friday,103,Medium Stock,391,High Stock,120,Medium Stock,217,High Stock,94,Medium Stock,104,Medium Stock,266,High Stock,174,Medium Stock,19
2015-06-20,9,3,3,26,5,0,10,7,2015,6,Saturday,94,Medium Stock,388,High Stock,117,Medium Stock,190,Medium Stock,89,Medium Stock,104,Medium Stock,256,High Stock,167,Medium Stock,20
2015-06-21,9,0,5,18,5,0,6,2,2015,6,Sunday,85,Medium Stock,388,High Stock,112,Medium Stock,172,Medium Stock,430,High Stock,104,Medium Stock,250,High Stock,165,Medium Stock,21
2015-06-22,5,6,9,29,0,0,1,5,2015,6,Monday,80,Medium Stock,381,High Stock,103,Medium Stock,143,Medium Stock,430,High Stock,104,Medium Stock,249,High Stock,160,Medium Stock,22
2015-06-23,4,5,3,19,7,0,5,5,2015,6,Tuesday,75,Low Stock,375,High Stock,99,Medium Stock,124,Medium Stock,423,High Stock,104,Medium Stock,244,High Stock,155,Medium Stock,23
2015-06-24,3,4,7,23,5,1,4,3,2015,6,Wednesday,358,High Stock,371,High Stock,92,Medium Stock,100,Medium Stock,418,High Stock,103,Medium Stock,240,High Stock,152,Medium Stock,24
2015-06-25,6,4,6,24,4,0,0,3,2015,6,Thursday,352,High Stock,367,High Stock,414,High Stock,76,Low Stock,414,High Stock,103,Medium Stock,240,High Stock,149,Medium Stock,25
2015-06-26,7,0,2,29,3,0,1,4,2015,6,Friday,345,High Stock,366,High Stock,412,High Stock,47,Low Stock,411,High Stock,103,Medium Stock,239,High Stock,145,Medium Stock,26
2015-06-27,7,3,6,36,10,0,1,2,2015,6,Saturday,337,High Stock,363,High Stock,406,High Stock,340,High Stock,401,High Stock,103,Medium Stock,238,High Stock,143,Medium Stock,27
2015-06-28,5,4,7,12,0,0,6,6,2015,6,Sunday,332,High Stock,358,High Stock,399,High Stock,328,High Stock,401,High Stock,103,Medium Stock,232,High Stock,137,Medium Stock,28
2015-06-29,5,3,4,22,15,0,11,3,2015,6,Monday,326,High Stock,355,High Stock,395,High Stock,306,High Stock,386,High Stock,103,Medium Stock,221,High Stock,134,Medium Stock,29
2015-06-30,1,4,6,35,12,0,2,4,2015,6,Tuesday,325,High Stock,350,High Stock,389,High Stock,271,High Stock,374,High Stock,103,Medium Stock,219,High Stock,130,Medium Stock,30
2015-07-01,8,5,5,18,14,1,12,10,2015,7,Wednesday,316,High Stock,344,High Stock,383,High Stock,253,High Stock,360,High Stock,102,Medium Stock,207,High Stock,120,Medium Stock,1
2015-07-02,3,2,1,23,3,0,1,2,2015,7,Thursday,313,High Stock,342,High Stock,382,High Stock,230,High Stock,357,High Stock,102,Medium Stock,206,High Stock,118,Medium Stock,2
2015-07-03,5,4,3,24,10,0,8,4,2015,7,Friday,308,High Stock,338,High Stock,379,High Stock,205,High Stock,347,High Stock,102,Medium Stock,198,Medium Stock,114,Medium Stock,3
2015-07-04,7,2,4,15,2,0,0,3,2015,7,Saturday,301,High Stock,336,High Stock,375,High Stock,190,Medium Stock,345,High Stock,102,Medium Stock,198,Medium Stock,111,Medium Stock,4
2015-07-05,5,4,4,14,10,0,1,4,2015,7,Sunday,296,High Stock,331,High Stock,371,High Stock,176,Medium Stock,335,High Stock,102,Medium Stock,197,Medium Stock,107,Medium Stock,5
2015-07-06,5,4,2,20,8,0,3,3,2015,7,Monday,290,High Stock,327,High Stock,369,High Stock,156,Medium Stock,327,High Stock,102,Medium Stock,194,Medium Stock,104,Medium Stock,6
2015-07-07,4,4,2,19,5,0,3,7,2015,7,Tuesday,285,High Stock,322,High Stock,366,High Stock,136,Medium Stock,322,High Stock,102,Medium Stock,191,Medium Stock,97,Medium Stock,7
2015-07-08,2,1,3,18,6,0,5,3,2015,7,Wednesday,283,High Stock,321,High Stock,363,High Stock,118,Medium Stock,316,High Stock,102,Medium Stock,186,Medium Stock,94,Medium Stock,8
2015-07-09,2,1,2,32,4,0,0,5,2015,7,Thursday,281,High Stock,319,High Stock,361,High Stock,85,Medium Stock,312,High Stock,102,Medium Stock,186,Medium Stock,89,Medium Stock,9
2015-07-10,5,6,5,37,15,0,8,6,2015,7,Friday,275,High Stock,313,High Stock,356,High Stock,48,Low Stock,297,High Stock,102,Medium Stock,178,Medium Stock,83,Medium Stock,10
2015-07-11,4,2,4,45,9,0,2,10,2015,7,Saturday,271,High Stock,310,High Stock,351,High Stock,333,High Stock,288,High Stock,102,Medium Stock,176,Medium Stock,73,Low Stock,11
2015-07-12,6,5,5,25,5,0,0,6,2015,7,Sunday,265,High Stock,305,High Stock,346,High Stock,308,High Stock,283,High Stock,102,Medium Stock,176,Medium Stock,288,High Stock,12
2015-07-13,3,0,8,22,5,0,0,3,2015,7,Monday,261,High Stock,304,High Stock,338,High Stock,285,High Stock,278,High Stock,102,Medium Stock,176,Medium Stock,285,High Stock,13
2015-07-14,0,4,5,14,1,0,2,2,2015,7,Tuesday,261,High Stock,300,High Stock,333,High Stock,271,High Stock,277,High Stock,102,Medium Stock,174,Medium Stock,283,High Stock,14
2015-07-15,8,1,4,20,5,0,1,9,2015,7,Wednesday,253,High Stock,298,High Stock,329,High Stock,251,High Stock,272,High Stock,102,Medium Stock,173,Medium Stock,274,High Stock,15
2015-07-16,8,3,1,18,3,0,2,4,2015,7,Thursday,244,High Stock,295,High Stock,328,High Stock,233,High Stock,269,High Stock,102,Medium Stock,171,Medium Stock,270,High Stock,16
2015-07-17,2,1,1,28,3,0,0,2,2015,7,Friday,242,High Stock,294,High Stock,327,High Stock,205,High Stock,266,High Stock,102,Medium Stock,171,Medium Stock,268,High Stock,17
2015-07-18,3,7,2,25,8,3,1,3,2015,7,Saturday,238,High Stock,286,High Stock,325,High Stock,180,Medium Stock,258,High Stock,99,Medium Stock,170,Medium Stock,265,High Stock,18
2015-07-19,11,1,2,15,1,0,1,3,2015,7,Sunday,226,High Stock,285,High Stock,323,High Stock,165,Medium Stock,257,High Stock,99,Medium Stock,169,Medium Stock,262,High Stock,19
2015-07-20,5,4,5,41,4,0,0,2,2015,7,Monday,221,High Stock,280,High Stock,318,High Stock,124,Medium Stock,253,High Stock,99,Medium Stock,169,Medium Stock,260,High Stock,20
2015-07-21,4,1,3,14,7,0,1,4,2015,7,Tuesday,216,High Stock,279,High Stock,315,High Stock,110,Medium Stock,246,High Stock,99,Medium Stock,168,Medium Stock,256,High Stock,21
2015-07-22,9,0,5,22,10,0,5,3,2015,7,Wednesday,206,High Stock,279,High Stock,310,High Stock,88,Medium Stock,236,High Stock,99,Medium Stock,163,Medium Stock,253,High Stock,22
2015-07-23,1,4,3,14,3,0,0,2,2015,7,Thursday,205,High Stock,275,High Stock,307,High Stock,74,Low Stock,233,High Stock,99,Medium Stock,163,Medium Stock,251,High Stock,23
2015-07-24,6,6,3,29,9,1,1,10,2015,7,Friday,199,Medium Stock,268,High Stock,304,High Stock,44,Low Stock,224,High Stock,98,Medium Stock,162,Medium Stock,241,High Stock,24
2015-07-25,4,4,5,22,7,1,0,4,2015,7,Saturday,195,Medium Stock,264,High Stock,299,High Stock,334,High Stock,217,High Stock,97,Medium Stock,162,Medium Stock,237,High Stock,25
2015-07-26,5,2,3,29,4,0,0,0,2015,7,Sunday,190,Medium Stock,261,High Stock,296,High Stock,305,High Stock,213,High Stock,97,Medium Stock,162,Medium Stock,237,High Stock,26
2015-07-27,7,3,7,24,9,0,0,1,2015,7,Monday,183,Medium Stock,258,High Stock,289,High Stock,281,High Stock,204,High Stock,97,Medium Stock,162,Medium Stock,235,High Stock,27
2015-07-28,14,6,1,15,14,0,1,3,2015,7,Tuesday,168,Medium Stock,252,High Stock,288,High Stock,266,High Stock,190,Medium Stock,97,Medium Stock,161,Medium Stock,232,High Stock,28
2015-07-29,10,3,4,21,8,0,2,1,2015,7,Wednesday,158,Medium Stock,249,High Stock,284,High Stock,244,High Stock,182,Medium Stock,97,Medium Stock,159,Medium Stock,231,High Stock,29
2015-07-30,3,3,14,16,3,0,0,4,2015,7,Thursday,155,Medium Stock,245,High Stock,270,High Stock,228,High Stock,179,Medium Stock,97,Medium Stock,159,Medium Stock,227,High Stock,30
2015-07-31,5,9,6,24,8,0,0,6,2015,7,Friday,150,Medium Stock,236,High Stock,263,High Stock,204,High Stock,171,Medium Stock,97,Medium Stock,159,Medium Stock,221,High Stock,31
2015-08-01,5,5,4,19,14,0,0,2,2015,8,Saturday,145,Medium Stock,231,High Stock,259,High Stock,185,Medium Stock,157,Medium Stock,97,Medium Stock,159,Medium Stock,219,High Stock,1
2015-08-02,5,6,4,15,9,0,0,2,2015,8,Sunday,140,Medium Stock,224,High Stock,255,High Stock,170,Medium Stock,148,Medium Stock,97,Medium Stock,159,Medium Stock,217,High Stock,2
2015-08-03,1,2,1,23,3,1,5,1,2015,8,Monday,138,Medium Stock,222,High Stock,254,High Stock,147,Medium Stock,145,Medium Stock,96,Medium Stock,154,Medium Stock,216,High Stock,3
2015-08-04,6,2,3,23,5,1,0,4,2015,8,Tuesday,132,Medium Stock,220,High Stock,251,High Stock,124,Medium Stock,140,Medium Stock,95,Medium Stock,154,Medium Stock,212,High Stock,4
2015-08-05,5,3,4,22,3,0,0,1,2015,8,Wednesday,127,Medium Stock,217,High Stock,247,High Stock,102,Medium Stock,136,Medium Stock,95,Medium Stock,154,Medium Stock,211,High Stock,5
2015-08-06,5,1,8,35,11,0,3,2,2015,8,Thursday,121,Medium Stock,215,High Stock,239,High Stock,67,Low Stock,125,Medium Stock,95,Medium Stock,151,Medium Stock,209,High Stock,6
2015-08-07,4,4,6,22,9,2,1,6,2015,8,Friday,117,Medium Stock,211,High Stock,233,High Stock,45,Low Stock,116,Medium Stock,93,Medium Stock,150,Medium Stock,203,High Stock,7
2015-08-08,6,5,7,22,5,0,0,0,2015,8,Saturday,111,Medium Stock,206,High Stock,226,High Stock,323,High Stock,111,Medium Stock,93,Medium Stock,150,Medium Stock,203,High Stock,8
2015-08-09,5,3,2,21,5,0,2,3,2015,8,Sunday,106,Medium Stock,202,High Stock,224,High Stock,302,High Stock,106,Medium Stock,93,Medium Stock,148,Medium Stock,200,High Stock,9
